ds,y
2019-10-07 00:00:00,95
2019-10-07 01:00:00,91
2019-10-07 02:00:00,89
2019-10-07 03:00:00,85
2019-10-07 04:00:00,81
2019-10-07 05:00:00,78
2019-10-07 06:00:00,76
2019-10-07 07:00:00,75
2019-10-07 08:00:00,71
2019-10-07 09:00:00,70
2019-10-07 10:00:00,66
2019-10-07 11:00:00,63
2019-10-07 12:00:00,59
2019-10-07 13:00:00,58
2019-10-07 14:00:00,56
2019-10-07 15:00:00,54
2019-10-07 16:00:00,50
2019-10-07 17:00:00,46
2019-10-07 18:00:00,43
2019-10-07 19:00:00,42
2019-10-07 20:00:00,38
2019-10-07 21:00:00,36
2019-10-07 22:00:00,35
2019-10-07 23:00:00,31
2019-10-08 00:00:00,95
2019-10-08 01:00:00,92
2019-10-08 02:00:00,89
2019-10-08 03:00:00,85
2019-10-08 04:00:00,84
2019-10-08 05:00:00,83
2019-10-08 06:00:00,80
2019-10-08 07:00:00,76
2019-10-08 08:00:00,73
2019-10-08 09:00:00,70
2019-10-08 10:00:00,66
2019-10-08 11:00:00,65
2019-10-08 12:00:00,62
2019-10-08 13:00:00,60
2019-10-08 14:00:00,58
2019-10-08 15:00:00,56
2019-10-08 16:00:00,54
2019-10-08 17:00:00,51
2019-10-08 18:00:00,50
2019-10-08 19:00:00,48
2019-10-08 20:00:00,45
2019-10-08 21:00:00,44
2019-10-08 22:00:00,43
2019-10-08 23:00:00,42
2019-10-09 00:00:00,95
2019-10-09 01:00:00,93
2019-10-09 02:00:00,91
2019-10-09 03:00:00,90
2019-10-09 04:00:00,87
2019-10-09 05:00:00,84
2019-10-09 06:00:00,81
2019-10-09 07:00:00,80
2019-10-09 08:00:00,76
2019-10-09 09:00:00,75
2019-10-09 10:00:00,72
2019-10-09 11:00:00,71
2019-10-09 12:00:00,68
2019-10-09 13:00:00,64
2019-10-09 14:00:00,63
2019-10-09 15:00:00,62
2019-10-09 16:00:00,59
2019-10-09 17:00:00,58
2019-10-09 18:00:00,55
2019-10-09 19:00:00,53
2019-10-09 20:00:00,49
2019-10-09 21:00:00,47
2019-10-09 22:00:00,44
2019-10-09 23:00:00,40
2019-10-10 00:00:00,95
2019-10-10 01:00:00,94
2019-10-10 02:00:00,93
2019-10-10 03:00:00,90
2019-10-10 04:00:00,86
2019-10-10 05:00:00,85
2019-10-10 06:00:00,81
2019-10-10 07:00:00,78
2019-10-10 08:00:00,77
2019-10-10 09:00:00,73
2019-10-10 10:00:00,70
2019-10-10 11:00:00,67
2019-10-10 12:00:00,65
2019-10-10 13:00:00,64
2019-10-10 14:00:00,62
2019-10-10 15:00:00,58
2019-10-10 16:00:00,55
2019-10-10 17:00:00,52
2019-10-10 18:00:00,48
2019-10-10 19:00:00,45
2019-10-10 20:00:00,41
2019-10-10 21:00:00,37
2019-10-10 22:00:00,33
2019-10-10 23:00:00,32
2019-10-11 00:00:00,95
2019-10-11 01:00:00,91
2019-10-11 02:00:00,87
2019-10-11 03:00:00,85
2019-10-11 04:00:00,81
2019-10-11 05:00:00,78
2019-10-11 06:00:00,76
2019-10-11 07:00:00,72
2019-10-11 08:00:00,70
2019-10-11 09:00:00,66
2019-10-11 10:00:00,65
2019-10-11 11:00:00,61
2019-10-11 12:00:00,60
2019-10-11 13:00:00,58
2019-10-11 14:00:00,57
2019-10-11 15:00:00,53
2019-10-11 16:00:00,50
2019-10-11 17:00:00,48
2019-10-11 18:00:00,45
2019-10-11 19:00:00,44
2019-10-11 20:00:00,42
2019-10-11 21:00:00,39
2019-10-11 22:00:00,38
2019-10-11 23:00:00,34
